,var1,var2,ground_truth,truth_ab,truth_ba,context,var1_desc,var2_desc
pair0025, Cement, Compressive strength, R,1,0,"Information for pairs0025:

Concrete Compressive Strength 

---------------------------------

Abstract: Concrete is the most important material in civil engineering. The 
concrete compressive strength is a highly nonlinear function of age and 
ingredients. These ingredients include cement, blast furnace slag, fly ash, 
water, superplasticizer, coarse aggregate, and fine aggregate.

---------------------------------

Sources: 

  Original Owner and Donor
  Prof. I-Cheng Yeh
  Department of Information Management 
  Chung-Hua University, 
  Hsin Chu, Taiwan 30067, R.O.C.
  e-mail:icyeh@chu.edu.tw
  TEL:886-3-5186511

  Date Donated: August 3, 2007
 
---------------------------------

Data Characteristics:
    
The actual concrete compressive strength (MPa) for a given mixture under a 
specific age (days) was determined from laboratory. Data is in raw form (not scaled). 

Number of instances (observations): 1030
---------------------------------

Name  -- Description

Cement -- kg in a m3 mixture 
Concrete compressive strength  -- MPa 


x: cement

y: compressive strength


","Cement is a key ingredient in a concrete mixture, measured in kilograms per cubic meter (kg/m3), that significantly influences the compressive strength of the concrete.","Compressive strength is a key property of concrete, indicating its ability to resist compression or withstand loads that tend to decrease its size, and it is determined as a nonlinear function of the concrete's age and its ingredients such as cement, blast furnace slag, fly ash, water, superplasticizer, coarse aggregate, and fine aggregate."
pair0026, Blast furnace slag, Compressive strength, R,1,0,"Information for pairs0026:

Concrete Compressive Strength 

---------------------------------

Abstract: Concrete is the most important material in civil engineering. The 
concrete compressive strength is a highly nonlinear function of age and 
ingredients. These ingredients include cement, blast furnace slag, fly ash, 
water, superplasticizer, coarse aggregate, and fine aggregate.

---------------------------------

Sources: 

  Original Owner and Donor
  Prof. I-Cheng Yeh
  Department of Information Management 
  Chung-Hua University, 
  Hsin Chu, Taiwan 30067, R.O.C.
  e-mail:icyeh@chu.edu.tw
  TEL:886-3-5186511

  Date Donated: August 3, 2007
 
---------------------------------

Data Characteristics:
    
The actual concrete compressive strength (MPa) for a given mixture under a 
specific age (days) was determined from laboratory. Data is in raw form (not scaled). 

Number of instances (observations): 1030
---------------------------------

Name  -- Description

Blast Furnace Slag -- kg in a m3 mixture 
Concrete compressive strength -- MPa 


x: blast furnace slag

y: compressive strength


","Blast furnace slag is a byproduct of the iron-making process, used as a supplementary cementitious material in a m3 mixture, which contributes to the compressive strength of concrete.","Compressive strength refers to the capacity of a material, in this case, concrete, to withstand loads that tend to reduce its size, and it is measured in Megapascals (MPa)."
pair0027, Fly ash, Compressive strength, R,1,0,"Information for pairs0027:

Concrete Compressive Strength 

---------------------------------

Abstract: Concrete is the most important material in civil engineering. The 
concrete compressive strength is a highly nonlinear function of age and 
ingredients. These ingredients include cement, blast furnace slag, fly ash, 
water, superplasticizer, coarse aggregate, and fine aggregate.

---------------------------------

Sources: 

  Original Owner and Donor
  Prof. I-Cheng Yeh
  Department of Information Management 
  Chung-Hua University, 
  Hsin Chu, Taiwan 30067, R.O.C.
  e-mail:icyeh@chu.edu.tw
  TEL:886-3-5186511

  Date Donated: August 3, 2007
 
---------------------------------

Data Characteristics:
    
The actual concrete compressive strength (MPa) for a given mixture under a 
specific age (days) was determined from laboratory. Data is in raw form (not scaled). 

Number of instances (observations): 1030
---------------------------------

Name  -- Description

Fly Ash -- kg in a m3 mixture 
Concrete compressive strength -- MPa 


x: fly ash

y: compressive strength


","Fly ash is a byproduct of coal combustion in power plants, often used as a supplementary cementitious material in the production of concrete due to its pozzolanic properties, enhancing the strength and durability of the mixture.","Compressive strength refers to the capacity of a material, in this case concrete, to withstand loads tending to reduce size, measured in megapascals (MPa), and is a crucial factor in determining the durability and structural integrity of the material."
pair0028, Water, Compressive strength, R,1,0,"Information for pairs0028:

Concrete Compressive Strength 

---------------------------------

Abstract: Concrete is the most important material in civil engineering. The 
concrete compressive strength is a highly nonlinear function of age and 
ingredients. These ingredients include cement, blast furnace slag, fly ash, 
water, superplasticizer, coarse aggregate, and fine aggregate.

---------------------------------

Sources: 

  Original Owner and Donor
  Prof. I-Cheng Yeh
  Department of Information Management 
  Chung-Hua University, 
  Hsin Chu, Taiwan 30067, R.O.C.
  e-mail:icyeh@chu.edu.tw
  TEL:886-3-5186511

  Date Donated: August 3, 2007
 
---------------------------------

Data Characteristics:
    
The actual concrete compressive strength (MPa) for a given mixture under a 
specific age (days) was determined from laboratory. Data is in raw form (not scaled). 

Number of instances (observations): 1030
---------------------------------

Name  -- Description

Water -- kg in a m3 mixture 
Concrete compressive strength -- MPa 


x: water

y: compressive strength


","In the context of concrete compressive strength, 'Water' refers to the quantity of water, measured in kilograms, used in a cubic meter mixture of concrete, which plays a crucial role in determining the strength and durability of the concrete.","Compressive strength is a key property of concrete, indicating its ability to resist compression forces, and is determined by the mix of ingredients and the age of the concrete, with the strength measured in megapascals (MPa)."
pair0029, Superplasticizer, Compressive strength, R,1,0,"Information for pairs0029:

Concrete Compressive Strength 

---------------------------------

Abstract: Concrete is the most important material in civil engineering. The 
concrete compressive strength is a highly nonlinear function of age and 
ingredients. These ingredients include cement, blast furnace slag, fly ash, 
water, superplasticizer, coarse aggregate, and fine aggregate.

---------------------------------

Sources: 

  Original Owner and Donor
  Prof. I-Cheng Yeh
  Department of Information Management 
  Chung-Hua University, 
  Hsin Chu, Taiwan 30067, R.O.C.
  e-mail:icyeh@chu.edu.tw
  TEL:886-3-5186511

  Date Donated: August 3, 2007
 
---------------------------------

Data Characteristics:
    
The actual concrete compressive strength (MPa) for a given mixture under a 
specific age (days) was determined from laboratory. Data is in raw form (not scaled). 

Number of instances (observations): 1030
---------------------------------

Name  -- Description

Superplasticizer -- kg in a m3 mixture
Concrete compressive strength -- MPa 


x: superplasticizer

y: compressive strength


","Superplasticizer is a component used in a concrete mixture, measured in kilograms per cubic meter, that enhances the workability of the mixture and allows for a reduction in water content without compromising the concrete's compressive strength.","Compressive strength refers to the capacity of a material, in this case concrete, to withstand loads tending to reduce size, measured in megapascals (MPa), and is determined by testing the material in a laboratory under specific conditions."
pair0030, Coarse aggregate, Compressive strength, R,1,0,"Information for pairs0030:

Concrete Compressive Strength 

---------------------------------

Abstract: Concrete is the most important material in civil engineering. The 
concrete compressive strength is a highly nonlinear function of age and 
ingredients. These ingredients include cement, blast furnace slag, fly ash, 
water, superplasticizer, coarse aggregate, and fine aggregate.

---------------------------------

Sources: 

  Original Owner and Donor
  Prof. I-Cheng Yeh
  Department of Information Management 
  Chung-Hua University, 
  Hsin Chu, Taiwan 30067, R.O.C.
  e-mail:icyeh@chu.edu.tw
  TEL:886-3-5186511

  Date Donated: August 3, 2007
 
---------------------------------

Data Characteristics:
    
The actual concrete compressive strength (MPa) for a given mixture under a 
specific age (days) was determined from laboratory. Data is in raw form (not scaled). 

Number of instances (observations): 1030
---------------------------------

Name  -- Description

Coarse Aggregate -- kg in a m3 mixture 
Concrete compressive strength -- MPa 


x: coarse aggregate

y: compressive strength


","Coarse aggregate refers to the larger material used in a concrete mixture, typically measured in kilograms per cubic meter, that contributes to the overall compressive strength of the concrete.","Compressive strength refers to the capacity of a material, in this case concrete, to withstand loads tending to reduce size, measured in megapascals (MPa), and is a critical property in civil engineering, influenced by factors such as age and composition of the material."
pair0031, Fine aggregate, Compressive strength, R,1,0,"Information for pairs0031:

Concrete Compressive Strength 

---------------------------------

Abstract: Concrete is the most important material in civil engineering. The 
concrete compressive strength is a highly nonlinear function of age and 
ingredients. These ingredients include cement, blast furnace slag, fly ash, 
water, superplasticizer, coarse aggregate, and fine aggregate.

---------------------------------

Sources: 

  Original Owner and Donor
  Prof. I-Cheng Yeh
  Department of Information Management 
  Chung-Hua University, 
  Hsin Chu, Taiwan 30067, R.O.C.
  e-mail:icyeh@chu.edu.tw
  TEL:886-3-5186511

  Date Donated: August 3, 2007
 
---------------------------------

Data Characteristics:
    
The actual concrete compressive strength (MPa) for a given mixture under a 
specific age (days) was determined from laboratory. Data is in raw form (not scaled). 

Number of instances (observations): 1030
---------------------------------

Name  -- Description

Fine Aggregate -- kg in a m3 mixture 
Concrete compressive strength -- MPa 


x: fine aggregate

y: compressive strength


","Fine aggregate refers to the smaller, granular materials, often sand or crushed stone, used in a concrete mixture, measured in kilograms per cubic meter (kg/m3), that significantly influence the concrete's compressive strength.","Compressive strength refers to the capacity of a material, such as concrete, to withstand axial compressive loads, and it is measured in megapascals (MPa); it is a crucial property in civil engineering, as it indicates the maximum compressive stress that the material can bear without failure."
pair0032, Age, Compressive strength, R,1,0,"Information for pairs0032:

Concrete Compressive Strength 

---------------------------------

Abstract: Concrete is the most important material in civil engineering. The 
concrete compressive strength is a highly nonlinear function of age and 
ingredients. These ingredients include cement, blast furnace slag, fly ash, 
water, superplasticizer, coarse aggregate, and fine aggregate.

---------------------------------

Sources: 

  Original Owner and Donor
  Prof. I-Cheng Yeh
  Department of Information Management 
  Chung-Hua University, 
  Hsin Chu, Taiwan 30067, R.O.C.
  e-mail:icyeh@chu.edu.tw
  TEL:886-3-5186511

  Date Donated: August 3, 2007
 
---------------------------------

Data Characteristics:
    
The actual concrete compressive strength (MPa) for a given mixture under a 
specific age (days) was determined from laboratory. Data is in raw form (not scaled). 

Number of instances (observations): 1030
---------------------------------

Name  -- Description

Age -- Day (1~365)
Concrete compressive strength -- MPa 


x: age

y: compressive strength


","In the context of concrete compressive strength, ""Age"" refers to the number of days (ranging from 1 to 365) since the concrete mixture was made, which is a key factor influencing the strength of the concrete over time.","Compressive strength is a key property of concrete, indicating its ability to withstand a certain amount of load or pressure without deformation, and it is a nonlinear function of the concrete's age and its ingredients such as cement, blast furnace slag, fly ash, water, superplasticizer, coarse aggregate, and fine aggregate."
pair0033, Alcohol consumption, Mean corpuscular volume, R,1,0,"Information for pairs0033:

https://archive.ics.uci.edu/ml/datasets/Liver+Disorders

Title: BUPA liver disorders

2. Source information:
   -- Creators: BUPA Medical Research Ltd.
   -- Donor: Richard S. Forsyth
             8 Grosvenor Avenue
             Mapperley Park
             Nottingham NG3 5DX
             0602-621676
   -- Date: 5/15/1990


4. Relevant information:
   -- The second variable is a blood test which is thought
      to be sensitive to liver disorders that might arise from
      excessive alcohol consumption.  Each line 
      constitutes the record of a single male individual.

x:    drinks	number of half-pint equivalents of alcoholic beverages
                drunk per day


y:    mcv	mean corpuscular volume


","Alcohol consumption refers to the intake of alcoholic beverages, quantified in this context as the number of half-pint equivalents drunk per day.","Mean Corpuscular Volume (MCV) is a measure of the average volume of a red blood cell, typically used in blood tests to help diagnose and monitor certain conditions, including anemia and liver disorders."
pair0034, Alcohol consumption, Alkaline phosphotase, R,1,0,"Information for pairs0035:

https://archive.ics.uci.edu/ml/datasets/Liver+Disorders

Title: BUPA liver disorders

2. Source information:
   -- Creators: BUPA Medical Research Ltd.
   -- Donor: Richard S. Forsyth
             8 Grosvenor Avenue
             Mapperley Park
             Nottingham NG3 5DX
             0602-621676
   -- Date: 5/15/1990

4. Relevant information:
   -- The second variable is a blood test which is thought
      to be sensitive to liver disorders that might arise from
      excessive alcohol consumption.  Each line 
      constitutes the record of a single male individual.

x:    drinks	number of half-pint equivalents of alcoholic beverages
                drunk per day


y:    alkphos	alkaline phosphotase


","Alcohol consumption refers to the intake of alcoholic beverages, measured in this context as the number of half-pint equivalents drunk per day, which can potentially lead to liver disorders detectable through sensitive blood tests.","Alkaline phosphatase (alkphos) is an enzyme found in several tissues throughout the body, with high concentrations in the liver, and its levels in the blood can increase in response to liver disorders, often caused by excessive alcohol consumption."
pair0035, Alcohol consumption, Alanine aminotransferase, R,1,0,"Information for pairs0035:

https://archive.ics.uci.edu/ml/datasets/Liver+Disorders

Title: BUPA liver disorders

2. Source information:
   -- Creators: BUPA Medical Research Ltd.
   -- Donor: Richard S. Forsyth
             8 Grosvenor Avenue
             Mapperley Park
             Nottingham NG3 5DX
             0602-621676
   -- Date: 5/15/1990


4. Relevant information:
   -- The second variable is a blood test which is thought
      to be sensitive to liver disorders that might arise from
      excessive alcohol consumption.  Each line 
      constitutes the record of a single male individual.

x:    drinks	number of half-pint equivalents of alcoholic beverages
                drunk per day


y:    sgpt 	alanine aminotransferase


","Alcohol consumption refers to the intake of alcoholic beverages, measured in this context as the number of half-pint equivalents consumed per day, and is associated with various health outcomes, including potential liver disorders detectable through blood tests like alanine aminotransferase (sgpt).","Alanine aminotransferase (ALT) is a key enzyme involved in protein metabolism, predominantly found in the liver and kidneys, and its elevated blood levels are often indicative of liver damage or disease."
pair0036, Alcohol consumption, Aspartate aminotransferase, R,1,0,"Information for pairs0036:

https://archive.ics.uci.edu/ml/datasets/Liver+Disorders

Title: BUPA liver disorders

2. Source information:
   -- Creators: BUPA Medical Research Ltd.
   -- Donor: Richard S. Forsyth
             8 Grosvenor Avenue
             Mapperley Park
             Nottingham NG3 5DX
             0602-621676
   -- Date: 5/15/1990


4. Relevant information:
   -- The second variable is a blood test which is thought
      to be sensitive to liver disorders that might arise from
      excessive alcohol consumption.  Each line 
      constitutes the record of a single male individual.

x:    drinks	number of half-pint equivalents of alcoholic beverages
                drunk per day


y:    sgot  	aspartate aminotransferase


","Alcohol consumption refers to the intake of alcoholic beverages, quantified in this dataset by the number of half-pint equivalents drunk per day, which can potentially lead to liver disorders detectable through blood tests such as aspartate aminotransferase (sgot)."," Aspartate aminotransferase (AST) is an enzyme mainly found in the liver and heart, often used as a blood test marker for detecting liver damage or diseases, especially those potentially caused by excessive alcohol intake. "
pair0037, Alcohol consumption, Gamma-glutamyl transpeptdase, R,1,0,"Information for pairs0037:

https://archive.ics.uci.edu/ml/datasets/Liver+Disorders

Title: BUPA liver disorders

2. Source information:
   -- Creators: BUPA Medical Research Ltd.
   -- Donor: Richard S. Forsyth
             8 Grosvenor Avenue
             Mapperley Park
             Nottingham NG3 5DX
             0602-621676
   -- Date: 5/15/1990


4. Relevant information:
   -- The second variable is a blood test which is thought
      to be sensitive to liver disorders that might arise from
      excessive alcohol consumption.  Each line 
      constitutes the record of a single male individual.

x:    drinks	number of half-pint equivalents of alcoholic beverages
                drunk per day


y:    gammagt 	gamma-glutamyl transpeptdase


","Alcohol consumption refers to the intake of alcoholic beverages, measured in this dataset by the number of half-pint equivalents consumed per day, which can potentially lead to liver disorders detectable through sensitive blood tests like gamma-glutamyl transpeptidase.","Gamma-glutamyl transpeptidase (GGT) is an enzyme that is primarily found in the liver and is involved in the transfer of amino acids across the cellular membrane, often used as a biomarker for liver disease and excessive alcohol consumption."
pair0038, Age, Body mass index, R,1,0,"Information for pairs0038:

Pima Indians Diabetes Database

1. Sources:
   (a) Original owners: National Institute of Diabetes and Digestive and
                        Kidney Diseases
   (b) Donor of database: Vincent Sigillito (vgs@aplcen.apl.jhu.edu)
                          Research Center, RMI Group Leader
                          Applied Physics Laboratory
                          The Johns Hopkins University
                          Johns Hopkins Road
                          Laurel, MD 20707
                          (301) 953-6231
   (c) Date received: 9 May 1990

2. Past Usage:
    1. Smith,~J.~W., Everhart,~J.~E., Dickson,~W.~C., Knowler,~W.~C., \&
       Johannes,~R.~S. (1988). Using the ADAP learning algorithm to forecast
       the onset of diabetes mellitus.  In {\it Proceedings of the Symposium
       on Computer Applications and Medical Care} (pp. 261--265).  IEEE
       Computer Society Press.

       The diagnostic, binary-valued variable investigated is whether the
       patient shows signs of diabetes according to World Health Organization
       criteria (i.e., if the 2 hour post-load plasma glucose was at least 
       200 mg/dl at any survey  examination or if found during routine medical
       care).   The population lives near Phoenix, Arizona, USA.

3. Relevant Information:
      Several constraints were placed on the selection of these instances from
      a larger database.  In particular, all patients here are females at
      least 21 years old of Pima Indian heritage.  

4. Number of Instances: 768

x: age

y: body mass index (weight in kg/(height in m)^2)


","'Age' in this context refers to the numerical representation of the years a female participant of Pima Indian heritage, who is at least 21 years old, has lived, and it is a variable used in the Pima Indians Diabetes Database to study its correlation with diabetes and body mass index.","Body Mass Index (BMI) is a numerical value derived from a person's weight and height, calculated by dividing the weight in kilograms by the square of height in meters, and it is commonly used to assess if a person has a healthy body weight for a given height."
pair0039, Age, Serum insulin, R,1,0,"Information for pairs0039:

Pima Indians Diabetes Database

1. Sources:
   (a) Original owners: National Institute of Diabetes and Digestive and
                        Kidney Diseases
   (b) Donor of database: Vincent Sigillito (vgs@aplcen.apl.jhu.edu)
                          Research Center, RMI Group Leader
                          Applied Physics Laboratory
                          The Johns Hopkins University
                          Johns Hopkins Road
                          Laurel, MD 20707
                          (301) 953-6231
   (c) Date received: 9 May 1990

2. Past Usage:
    1. Smith,~J.~W., Everhart,~J.~E., Dickson,~W.~C., Knowler,~W.~C., \&
       Johannes,~R.~S. (1988). Using the ADAP learning algorithm to forecast
       the onset of diabetes mellitus.  In {\it Proceedings of the Symposium
       on Computer Applications and Medical Care} (pp. 261--265).  IEEE
       Computer Society Press.

       The diagnostic, binary-valued variable investigated is whether the
       patient shows signs of diabetes according to World Health Organization
       criteria (i.e., if the 2 hour post-load plasma glucose was at least 
       200 mg/dl at any survey  examination or if found during routine medical
       care).   The population lives near Phoenix, Arizona, USA.

3. Relevant Information:
      Several constraints were placed on the selection of these instances from
      a larger database.  In particular, all patients here are females at
      least 21 years old of Pima Indian heritage.  

4. Number of Instances: 768

x: age

y: 2-Hour serum insulin (mu U/ml)


","Age, in the context of the Pima Indians Diabetes Database, refers to the number of years a female participant of Pima Indian heritage, who is at least 21 years old, has lived.","Serum insulin is a biochemical marker in the blood that measures the level of insulin, a hormone produced by the pancreas that regulates the amount of glucose in the body."
pair0040, Age, Diastolic blood pressure, R,1,0,"Information for pairs0040:

Pima Indians Diabetes Database

1. Sources:
   (a) Original owners: National Institute of Diabetes and Digestive and
                        Kidney Diseases
   (b) Donor of database: Vincent Sigillito (vgs@aplcen.apl.jhu.edu)
                          Research Center, RMI Group Leader
                          Applied Physics Laboratory
                          The Johns Hopkins University
                          Johns Hopkins Road
                          Laurel, MD 20707
                          (301) 953-6231
   (c) Date received: 9 May 1990

2. Past Usage:
    1. Smith,~J.~W., Everhart,~J.~E., Dickson,~W.~C., Knowler,~W.~C., \&
       Johannes,~R.~S. (1988). Using the ADAP learning algorithm to forecast
       the onset of diabetes mellitus.  In {\it Proceedings of the Symposium
       on Computer Applications and Medical Care} (pp. 261--265).  IEEE
       Computer Society Press.

       The diagnostic, binary-valued variable investigated is whether the
       patient shows signs of diabetes according to World Health Organization
       criteria (i.e., if the 2 hour post-load plasma glucose was at least 
       200 mg/dl at any survey  examination or if found during routine medical
       care).   The population lives near Phoenix, Arizona, USA.

3. Relevant Information:
      Several constraints were placed on the selection of these instances from
      a larger database.  In particular, all patients here are females at
      least 21 years old of Pima Indian heritage.  

4. Number of Instances: 768

x: age

y: diastolic blood pressure (mm Hg)


","Age, in the context of the Pima Indians Diabetes Database, refers to the number of years a female patient of Pima Indian heritage, who is at least 21 years old, has lived.","Diastolic blood pressure is the pressure in the arteries when the heart rests between beats, providing a measure of the minimum blood pressure in the cardiovascular system."
pair0041, Age, Plasma glucose concentration, R,1,0,"Information for pairs0041:

Pima Indians Diabetes Database

1. Sources:
   (a) Original owners: National Institute of Diabetes and Digestive and
                        Kidney Diseases
   (b) Donor of database: Vincent Sigillito (vgs@aplcen.apl.jhu.edu)
                          Research Center, RMI Group Leader
                          Applied Physics Laboratory
                          The Johns Hopkins University
                          Johns Hopkins Road
                          Laurel, MD 20707
                          (301) 953-6231
   (c) Date received: 9 May 1990

2. Past Usage:
    1. Smith,~J.~W., Everhart,~J.~E., Dickson,~W.~C., Knowler,~W.~C., \&
       Johannes,~R.~S. (1988). Using the ADAP learning algorithm to forecast
       the onset of diabetes mellitus.  In {\it Proceedings of the Symposium
       on Computer Applications and Medical Care} (pp. 261--265).  IEEE
       Computer Society Press.

       The diagnostic, binary-valued variable investigated is whether the
       patient shows signs of diabetes according to World Health Organization
       criteria (i.e., if the 2 hour post-load plasma glucose was at least 
       200 mg/dl at any survey  examination or if found during routine medical
       care).   The population lives near Phoenix, Arizona, USA.

3. Relevant Information:
      Several constraints were placed on the selection of these instances from
      a larger database.  In particular, all patients here are females at
      least 21 years old of Pima Indian heritage.  

4. Number of Instances: 768

x: age

y: Plasma glucose concentration a 2 hours in an oral glucose tolerance test


","Age, in the context of the Pima Indians Diabetes Database, refers to the number of years a female participant of Pima Indian heritage, who is at least 21 years old, has lived, and it serves as an independent variable in the study of diabetes onset.","Plasma glucose concentration refers to the amount of glucose, a type of sugar, present in the blood, typically measured in milligrams per deciliter (mg/dL), and is often assessed in medical tests such as the oral glucose tolerance test to diagnose conditions like diabetes."
pair0042, Day of the year, Temperature, R,1,0,"Information for pairs0042:

x (int): days of the year
y (float): mean daily temperature of Furtwangen (Schwarzwald), Germany

time range: 1/1/1979-31/1/2004

data was computed as follows:

(morning temperature + midday temperature + 2 * evening temperature) / 4

source: Bernward Janzing, private archive

","The ""Day of the year"" is a numerical system that assigns a unique value to each day within a year, ranging from 1 to 365 (or 366 in a leap year), used in this context to chronologically track and analyze the mean daily temperature in Furtwangen, Germany over a 25-year period.","Temperature is a quantitative measure of the degree of heat present in a substance or an environment, often expressed in units such as Celsius, Fahrenheit, or Kelvin."
pair0043, Temperature at t, Temperature at t+1, R,1,0,"Information for pair0043:

Mean Daily Air temperature near surface (.995 sigma level) on a 144x73 grid (2.5 degree) of day 50 and day 51 of year 2000.

x: year 2000, day 50
y: year 2000, day 51

units: K

Data source:
http://www.esrl.noaa.gov/psd/data/gridded/data.ncep.reanalysis.surface.html


","Temperature at t refers to the mean daily air temperature measured near the surface level (.995 sigma level) on a specific day (t) of a particular year, represented on a 144x73 grid (2.5 degree).","The concept of Temperature at t+1 refers to the mean daily air temperature near the earth's surface on the following day (day 51) in the year 2000, measured on a 144x73 grid (2.5 degree) and expressed in Kelvin (K)."
pair0044, Pressure at t, Pressure at t+1, R,1,0,"Information for pair0044:

Mean Daily pressure at surface on a 144x73 grid (2.5 degree) of day 50 and day 51 of year 2000.

x: year 2000, day 50
y: year 2000, day 51

units: Pascal

Data source:
http://www.esrl.noaa.gov/psd/data/gridded/data.ncep.reanalysis.surface.html


","Pressure at t is the quantification of the atmospheric pressure at a specific time point 't', measured in Pascals, on a 144x73 grid (2.5 degree) surface, as provided by the data from the Earth System Research Laboratory.","""Pressure at t+1"" refers to the atmospheric pressure measured in Pascal at the surface level on a 144x73 grid (2.5 degree) for the day following a given day (t), in this case, day 51 of the year 2000."
pair0045, Sea level pressure at t, Sea level pressure at t+1, R,1,0,"Information for pair0045:

Mean daily sea level pressure on a 144x73 grid (2.5 degree) of day 50 and day 51 of year 2000.

x: year 2000, day 50
y: year 2000, day 51

units: Pascal

Data source:
http://www.esrl.noaa.gov/psd/data/gridded/data.ncep.reanalysis.surface.html


","Sea level pressure at time 't' is the atmospheric pressure measured at sea level at a specific day (t) in the year 2000, represented on a 144x73 grid with 2.5-degree intervals.","Sea level pressure at t+1 refers to the atmospheric pressure measured at sea level on the following day (day 51) in the year 2000, represented on a 144x73 grid with a 2.5-degree resolution, with the units expressed in Pascal."
pair0046, Relative humidity at t, Relative humidity at t+1, R,1,0,"Information for pair0046:

Mean daily relative humidity near surface (.995 sigma level) on a 144x73 grid (2.5 degree) of day 50 and day 51 of year 2000.

x: year 2000, day 50
y: year 2000, day 51

units: %

Data source:
http://www.esrl.noaa.gov/psd/data/gridded/data.ncep.reanalysis.surface.html


","Relative humidity at t refers to the percentage of moisture in the air at a specific time and location, measured near the surface on a 144x73 grid (2.5 degree) for a particular day in the year 2000.","Relative humidity at t+1 refers to the measurement of atmospheric moisture content at a specific grid location, expressed as a percentage, on the day following a given time point (t), in this case, day 50 of the year 2000."
pair0047, Number of cars, Type of day, L,0,1,"Information for pair0047:

Traffic

x: number of cars per 24h at different counting stations in Oberschwaben, Germany
y: categorical :
	1 	 -> Sundays + holidays
	2	 -> working days 

Data source:
http://www.b30-oberschwaben.de/html/tabelle.html

","The ""Number of cars"" refers to the total count of vehicles recorded in a 24-hour period at various counting stations in Oberschwaben, Germany.","The ""Type of day"" is a categorical variable in the dataset, which classifies the days into two categories: '1' representing Sundays and holidays, and '2' representing working days, to analyze the traffic volume in Oberschwaben, Germany."
pair0048, Indoor temperature, Outdoor temperature, L,0,1,"Information for pairs0048:

x: Indoor temperature 

y: Outdoor temperature

source:
Hipel and Mcleod (1994): 
Time series modelling of water resources and environmental systems
www.stats.uwo.ca/faculty/mcleod/epubs/mhsets/readme-mhsets.html.

","Indoor temperature refers to the degree or intensity of heat present within a confined space like a building, which can be influenced by various factors such as outdoor temperature, insulation, and heating or cooling systems.","Outdoor temperature refers to the degree or intensity of heat present in the environment outside of an enclosed space, which can influence various environmental systems and water resources."
pair0049, Ozone concentration, Temperature, R,1,0,"Information for pairs0049:

Daily mean values of ozone and temperature of year 2009 in Lausanne-CÃ©sar-Roux, Switzerland

x: Ozone (microgram / cubic meter)

y: Temperature (degree celsius)

source:
Bundesamt fuer Umwelt (BAFU, Switzerland)
www.bafu.admin.ch/luft/luftbelastung/blick_zurueck/datenabfrage/index.html?lang=de


","Ozone concentration, represented here as micrograms per cubic meter, refers to the amount of ozone present in a specific volume of air, which is a key indicator of air quality and can have significant impacts on human health and the environment.","Temperature, denoted as 'y' in this context, refers to the average daily atmospheric heat measured in degrees Celsius for the year 2009 in Lausanne-César-Roux, Switzerland."
pair0050, Ozone concentration, Temperature, R,1,0,"Information for pairs0050:

Daily mean values of ozone and temperature of year 2009 in Chaumont, Switzerland

x: Ozone (microgram / cubic meter)

y: Temperature (degree celsius)

source:
Bundesamt fuer Umwelt (BAFU, Switzerland)
www.bafu.admin.ch/luft/luftbelastung/blick_zurueck/datenabfrage/index.html?lang=de

","Ozone concentration, measured in micrograms per cubic meter, refers to the amount of ozone gas present in a specific volume of air, which is a key indicator of air quality and can have significant impacts on human health and the environment.","Temperature, in this context, refers to the daily average atmospheric temperature in degrees Celsius recorded in Chaumont, Switzerland during the year 2009."
pair0051, Ozone concentration, Temperature, R,1,0,"Information for pairs0051:

Daily mean values of ozone and temperature of year 2009 in Davos-See, Switzerland

x: Ozone (microgram / cubic meter)

y: Temperature (degree celsius)

source:
Bundesamt fuer Umwelt (BAFU, Switzerland)
www.bafu.admin.ch/luft/luftbelastung/blick_zurueck/datenabfrage/index.html?lang=de

","Ozone concentration refers to the amount of ozone present in a specific volume of air, typically measured in micrograms per cubic meter, which can be influenced by various environmental factors such as temperature.","Temperature, in this context, refers to the average daily atmospheric temperature measured in degrees Celsius in Davos-See, Switzerland during the year 2009."
pair0052, (Temp and Press and SLP and Rh), (Temp and Press and Slp and Rh), L,0,1,"Information for pair0052:

x and y are 4-dimensional variables for day 51 resp. 50 of year 2000 on a 144x73 grid (2.5 degree).  The four dimensions are:

x: year 2000, day 51
y: year 2000, day 50

1) Mean Daily Air temperature at sigma level 995 

variable type: int16
skalefactor: 0.00999999977648258
add offset: 512.809997558594
units: degK

2) Mean Daily pressure at surface 

variable type: int16
skalefactor: 10
add offset: 367650
units: Pascal

3) Mean Daily sea level pressure 

variable type: int16
add offset: 119765
units: Pascal

4) Mean Daily relative humidity at sigma level 995 

variable type: int16
add offset: 302.649993896484
scale factor: 0.00999999977648258
units: %

Data source:
http://www.esrl.noaa.gov/psd/data/gridded/data.ncep.reanalysis.surface.html


","Temp and Press and SLP and Rh are four-dimensional meteorological variables representing Mean Daily Air Temperature, Mean Daily Pressure at Surface, Mean Daily Sea Level Pressure, and Mean Daily Relative Humidity, respectively, for days 50 and 51 of the year 2000, measured on a 144x73 grid with specific scale factors and offsets, as provided by the Earth System Research Laboratory.","Temp, Press, Slp, and Rh are four-dimensional variables representing the Mean Daily Air Temperature at sigma level 995, Mean Daily Pressure at Surface, Mean Daily Sea Level Pressure, and Mean Daily Relative Humidity at sigma level 995, respectively, for days 50 and 51 of the year 2000 on a 144x73 grid, as provided by the Earth System Research Laboratory of the National Oceanic and Atmospheric Administration."
